TestName,hidden_dim_m1,gamma_m1,noise_dim_m1,dim_m1,batch_size_m1,log_step_m1,learning_rate_m1
T85,24.0,0.5,128.0,32.0,90.0,50.0,0.0006
T86,24.0,0.5,128.0,32.0,90.0,70.0,0.0003
T87,24.0,0.5,128.0,32.0,90.0,70.0,0.0006
T88,24.0,0.5,128.0,128.0,60.0,50.0,0.0003
T89,24.0,0.5,128.0,128.0,60.0,50.0,0.0006
T90,24.0,0.5,128.0,128.0,60.0,70.0,0.0003
T91,24.0,0.5,128.0,128.0,60.0,70.0,0.0006
T92,24.0,0.5,128.0,128.0,90.0,50.0,0.0003
T93,24.0,0.5,128.0,128.0,90.0,50.0,0.0006
T94,24.0,0.5,128.0,128.0,90.0,70.0,0.0003
T95,24.0,0.5,128.0,128.0,90.0,70.0,0.0006
T96,24.0,1.0,32.0,32.0,60.0,50.0,0.0003
T97,24.0,1.0,32.0,32.0,60.0,50.0,0.0006
T98,24.0,1.0,32.0,32.0,60.0,70.0,0.0003
T99,24.0,1.0,32.0,32.0,60.0,70.0,0.0006
T100,24.0,1.0,32.0,32.0,90.0,50.0,0.0003
T101,24.0,1.0,32.0,32.0,90.0,50.0,0.0006
T102,24.0,1.0,32.0,32.0,90.0,70.0,0.0003
T103,24.0,1.0,32.0,32.0,90.0,70.0,0.0006
T104,24.0,1.0,32.0,128.0,60.0,50.0,0.0003
T105,24.0,1.0,32.0,128.0,60.0,50.0,0.0006
T106,24.0,1.0,32.0,128.0,60.0,70.0,0.0003
T107,24.0,1.0,32.0,128.0,60.0,70.0,0.0006
T108,24.0,1.0,32.0,128.0,90.0,50.0,0.0003
T109,24.0,1.0,32.0,128.0,90.0,50.0,0.0006
T110,24.0,1.0,32.0,128.0,90.0,70.0,0.0003
T111,24.0,1.0,32.0,128.0,90.0,70.0,0.0006
T112,24.0,1.0,128.0,32.0,60.0,50.0,0.0003
T113,24.0,1.0,128.0,32.0,60.0,50.0,0.0006
T114,24.0,1.0,128.0,32.0,60.0,70.0,0.0003
T115,24.0,1.0,128.0,32.0,60.0,70.0,0.0006
T116,24.0,1.0,128.0,32.0,90.0,50.0,0.0003
T117,24.0,1.0,128.0,32.0,90.0,50.0,0.0006
T118,24.0,1.0,128.0,32.0,90.0,70.0,0.0003
T119,24.0,1.0,128.0,32.0,90.0,70.0,0.0006
T120,24.0,1.0,128.0,128.0,60.0,50.0,0.0003
T121,24.0,1.0,128.0,128.0,60.0,50.0,0.0006
T122,24.0,1.0,128.0,128.0,60.0,70.0,0.0003
T123,24.0,1.0,128.0,128.0,60.0,70.0,0.0006
T124,24.0,1.0,128.0,128.0,90.0,50.0,0.0003
T125,24.0,1.0,128.0,128.0,90.0,50.0,0.0006
T126,24.0,1.0,128.0,128.0,90.0,70.0,0.0003
T127,24.0,1.0,128.0,128.0,90.0,70.0,0.0006
T128,48.0,0.5,32.0,32.0,60.0,50.0,0.0003
T129,48.0,0.5,32.0,32.0,60.0,50.0,0.0006
T130,48.0,0.5,32.0,32.0,60.0,70.0,0.0003
T131,48.0,0.5,32.0,32.0,60.0,70.0,0.0006
T132,48.0,0.5,32.0,32.0,90.0,50.0,0.0003
T133,48.0,0.5,32.0,32.0,90.0,50.0,0.0006
T134,48.0,0.5,32.0,32.0,90.0,70.0,0.0003
T135,48.0,0.5,32.0,32.0,90.0,70.0,0.0006
T136,48.0,0.5,32.0,128.0,60.0,50.0,0.0003
T137,48.0,0.5,32.0,128.0,60.0,50.0,0.0006
T138,48.0,0.5,32.0,128.0,60.0,70.0,0.0003
T139,48.0,0.5,32.0,128.0,60.0,70.0,0.0006
T140,48.0,0.5,32.0,128.0,90.0,50.0,0.0003
T141,48.0,0.5,32.0,128.0,90.0,50.0,0.0006
T142,48.0,0.5,32.0,128.0,90.0,70.0,0.0003
T143,48.0,0.5,32.0,128.0,90.0,70.0,0.0006
T144,48.0,0.5,128.0,32.0,60.0,50.0,0.0003
T145,48.0,0.5,128.0,32.0,60.0,50.0,0.0006
T146,48.0,0.5,128.0,32.0,60.0,70.0,0.0003
T147,48.0,0.5,128.0,32.0,60.0,70.0,0.0006
T148,48.0,0.5,128.0,32.0,90.0,50.0,0.0003
T149,48.0,0.5,128.0,32.0,90.0,50.0,0.0006
T150,48.0,0.5,128.0,32.0,90.0,70.0,0.0003
T151,48.0,0.5,128.0,32.0,90.0,70.0,0.0006
T152,48.0,0.5,128.0,128.0,60.0,50.0,0.0003
T153,48.0,0.5,128.0,128.0,60.0,50.0,0.0006
T154,48.0,0.5,128.0,128.0,60.0,70.0,0.0003
T155,48.0,0.5,128.0,128.0,60.0,70.0,0.0006
T156,48.0,0.5,128.0,128.0,90.0,50.0,0.0003
T157,48.0,0.5,128.0,128.0,90.0,50.0,0.0006
T158,48.0,0.5,128.0,128.0,90.0,70.0,0.0003
T159,48.0,0.5,128.0,128.0,90.0,70.0,0.0006
T160,48.0,1.0,32.0,32.0,60.0,50.0,0.0003
T161,48.0,1.0,32.0,32.0,60.0,50.0,0.0006
T162,48.0,1.0,32.0,32.0,60.0,70.0,0.0003
T163,48.0,1.0,32.0,32.0,60.0,70.0,0.0006
T164,48.0,1.0,32.0,32.0,90.0,50.0,0.0003
T165,48.0,1.0,32.0,32.0,90.0,50.0,0.0006
T166,48.0,1.0,32.0,32.0,90.0,70.0,0.0003
T167,48.0,1.0,32.0,32.0,90.0,70.0,0.0006
T168,48.0,1.0,32.0,128.0,60.0,50.0,0.0003
T169,48.0,1.0,32.0,128.0,60.0,50.0,0.0006
T170,48.0,1.0,32.0,128.0,60.0,70.0,0.0003
T171,48.0,1.0,32.0,128.0,60.0,70.0,0.0006
T172,48.0,1.0,32.0,128.0,90.0,50.0,0.0003
T173,48.0,1.0,32.0,128.0,90.0,50.0,0.0006
T174,48.0,1.0,32.0,128.0,90.0,70.0,0.0003
T175,48.0,1.0,32.0,128.0,90.0,70.0,0.0006
T176,48.0,1.0,128.0,32.0,60.0,50.0,0.0003
T177,48.0,1.0,128.0,32.0,60.0,50.0,0.0006
T178,48.0,1.0,128.0,32.0,60.0,70.0,0.0003
T179,48.0,1.0,128.0,32.0,60.0,70.0,0.0006
T180,48.0,1.0,128.0,32.0,90.0,50.0,0.0003
T181,48.0,1.0,128.0,32.0,90.0,50.0,0.0006
T182,48.0,1.0,128.0,32.0,90.0,70.0,0.0003
T183,48.0,1.0,128.0,32.0,90.0,70.0,0.0006
T184,48.0,1.0,128.0,128.0,60.0,50.0,0.0003
T185,48.0,1.0,128.0,128.0,60.0,50.0,0.0006
T186,48.0,1.0,128.0,128.0,60.0,70.0,0.0003
T187,48.0,1.0,128.0,128.0,60.0,70.0,0.0006
T188,48.0,1.0,128.0,128.0,90.0,50.0,0.0003
T189,48.0,1.0,128.0,128.0,90.0,50.0,0.0006
T190,48.0,1.0,128.0,128.0,90.0,70.0,0.0003
T191,48.0,1.0,128.0,128.0,90.0,70.0,0.0006
